Ensemble,Target,Horizon,MAE_at_horizon
Ensemble-Simple (prophet_multi_only),CI,14,10.278829971486104
Ensemble-Simple (prophet_multi_only),CI,15,11.351444037694186
Ensemble-Simple (prophet_multi_only),CI,16,11.755662174440737
Ensemble-Simple (prophet_multi_only),CI,17,11.09056313124222
Ensemble-Simple (prophet_multi_only),CI,18,11.799346727109738
Ensemble-Simple (prophet_multi_only),CI,19,12.233458245800907
Ensemble-Simple (prophet_multi_only),CI,20,10.989223342047891
Ensemble-Simple (prophet_multi_only),CI,21,9.7742669856794
Ensemble-Simple (prophet_multi_only),CI,22,9.524235771544655
Ensemble-Simple (prophet_multi_only),CI,23,7.81462029716898
Ensemble-Simple (prophet_multi_only),CI,24,9.53746841472167
Ensemble-Simple (prophet_multi_only),RE,1,0.14973041911862264
Ensemble-Simple (prophet_multi_only),RE,2,0.3287331174383965
Ensemble-Simple (prophet_multi_only),RE,3,0.3515300670210077
Ensemble-Simple (prophet_multi_only),RE,4,0.36882626830434245
Ensemble-Simple (prophet_multi_only),RE,5,0.38327960836565894
Ensemble-Simple (prophet_multi_only),RE,6,0.43726076108734735
Ensemble-Simple (prophet_multi_only),RE,7,0.3909353972270548
Ensemble-Simple (prophet_multi_only),RE,8,0.48940608002473257
Ensemble-Simple (prophet_multi_only),RE,9,0.5620403874440244
Ensemble-Simple (prophet_multi_only),RE,10,0.5642378745442248
Ensemble-Simple (prophet_multi_only),RE,11,0.7294042676953145
Ensemble-Simple (prophet_multi_only),RE,12,0.7665841873737359
Ensemble-Simple (prophet_multi_only),RE,13,0.7665066163532459
Ensemble-Simple (prophet_multi_only),RE,14,0.9169661815445369
Ensemble-Simple (prophet_multi_only),RE,15,0.8864790443427246
Ensemble-Simple (prophet_multi_only),RE,16,0.9088116036122591
Ensemble-Simple (prophet_multi_only),RE,17,0.8062835880674588
Ensemble-Simple (prophet_multi_only),RE,18,0.8070076837641583
Ensemble-Simple (prophet_multi_only),RE,19,0.9109379614365154
Ensemble-Simple (prophet_multi_only),RE,20,0.7858155131123347
Ensemble-Simple (prophet_multi_only),RE,21,0.6943342146934778
Ensemble-Simple (prophet_multi_only),RE,22,0.6427308814657979
Ensemble-Simple (prophet_multi_only),RE,23,0.6292256038818316
Ensemble-Simple (prophet_multi_only),RE,24,0.5577360008878894
Ensemble-Simple (prophet_only),CI,1,1.336998137156104
Ensemble-Simple (prophet_only),CI,2,3.038884313500547
Ensemble-Simple (prophet_only),CI,3,3.3446804338857135
Ensemble-Simple (prophet_only),CI,4,3.4553374855300456
Ensemble-Simple (prophet_only),CI,5,4.050547643624055
Ensemble-Simple (prophet_only),CI,6,5.187264940077399
Ensemble-Simple (prophet_only),CI,7,4.910510418100135
Ensemble-Simple (prophet_only),CI,8,5.446701258595834
Ensemble-Simple (prophet_only),CI,9,6.867456689951747
Ensemble-Simple (prophet_only),CI,10,7.0860044869730245
Ensemble-Simple (prophet_only),CI,11,8.433669374828357
Ensemble-Simple (prophet_only),CI,12,9.19656472924368
Ensemble-Simple (prophet_only),CI,13,9.032708327527292
Ensemble-Simple (prophet_only),CI,14,9.806539343494922
Ensemble-Simple (prophet_only),CI,15,10.469263539635767
Ensemble-Simple (prophet_only),CI,16,10.60831440664272
Ensemble-Simple (prophet_only),CI,17,9.594602802126472
Ensemble-Simple (prophet_only),CI,18,10.632413253176558
Ensemble-Simple (prophet_only),CI,19,11.292157542688162
Ensemble-Simple (prophet_only),CI,20,10.349395219374983
Ensemble-Simple (prophet_only),CI,21,8.841715906839989
Ensemble-Simple (prophet_only),CI,22,8.303408159202732
Ensemble-Simple (prophet_only),CI,23,7.110549434482498
Ensemble-Simple (prophet_only),CI,24,9.01368152884165
Ensemble-Simple (prophet_only),RE,1,0.13674424947577615
Ensemble-Simple (prophet_only),RE,2,0.3567782848365144
Ensemble-Simple (prophet_only),RE,3,0.36403535904423384
Ensemble-Simple (prophet_only),RE,4,0.3784713987020006
Ensemble-Simple (prophet_only),RE,5,0.4055869359347048
Ensemble-Simple (prophet_only),RE,6,0.469240716138316
Ensemble-Simple (prophet_only),RE,7,0.41492733957513894
Ensemble-Simple (prophet_only),RE,8,0.4918412016073283
Ensemble-Simple (prophet_only),RE,9,0.5734123209629554
Ensemble-Simple (prophet_only),RE,10,0.5936312473831166
Ensemble-Simple (prophet_only),RE,11,0.7674267941467832
Ensemble-Simple (prophet_only),RE,12,0.8357544603565359
Ensemble-Simple (prophet_only),RE,13,0.8363387820169735
Ensemble-Simple (prophet_only),RE,14,1.0534455455357434
Ensemble-Simple (prophet_only),RE,15,1.004434864222228
Ensemble-Simple (prophet_only),RE,16,1.0837806204463105
Ensemble-Simple (prophet_only),RE,17,0.9815123618554586
Ensemble-Simple (prophet_only),RE,18,1.0000302340493545
Ensemble-Simple (prophet_only),RE,19,1.1531874681526117
Ensemble-Simple (prophet_only),RE,20,1.0461089601964557
Ensemble-Simple (prophet_only),RE,21,0.9498368577785022
Ensemble-Simple (prophet_only),RE,22,0.9400277394165272
Ensemble-Simple (prophet_only),RE,23,0.9642193287349714
Ensemble-Simple (prophet_only),RE,24,0.946172025979143
Ensemble-Weighted (all),CI,1,1.2086657366243412
Ensemble-Weighted (all),CI,2,3.039504498245775
Ensemble-Weighted (all),CI,3,3.3607375823540555
Ensemble-Weighted (all),CI,4,3.4584738561745088
Ensemble-Weighted (all),CI,5,3.726776824099851
Ensemble-Weighted (all),CI,6,4.451074646421295
Ensemble-Weighted (all),CI,7,4.151241109039372
Ensemble-Weighted (all),CI,8,4.8702214056405015
Ensemble-Weighted (all),CI,9,5.249457085445166
Ensemble-Weighted (all),CI,10,5.372128618949376
