Decomposition,Model,Target,Horizon,MAE_at_horizon
prophet,Uni-LSTM RE,RE,9,0.828691635746279
prophet,Uni-LSTM RE,RE,10,0.9587748561347014
prophet,Uni-LSTM RE,RE,11,1.1132108350987877
prophet,Uni-LSTM RE,RE,12,1.2815895502378865
prophet,Uni-LSTM RE,RE,13,1.1968417286399131
prophet,Uni-LSTM RE,RE,14,1.5876966787422548
prophet,Uni-LSTM RE,RE,15,1.3943045202111461
prophet,Uni-LSTM RE,RE,16,1.676508350100912
prophet,Uni-LSTM RE,RE,17,1.522225223499253
prophet,Uni-LSTM RE,RE,18,1.6192483180645882
prophet,Uni-LSTM RE,RE,19,1.9457748053189283
prophet,Uni-LSTM RE,RE,20,1.8406147350899027
prophet,Uni-LSTM RE,RE,21,1.6968848078773393
prophet,Uni-LSTM RE,RE,22,1.7418803541894599
prophet,Uni-LSTM RE,RE,23,1.8741100167730187
prophet,Uni-LSTM RE,RE,24,1.967866956905719
